Country Name,Year,GDP growth (annual %),General government final consumption expenditure (% of GDP),hdi index
Malaysia,2015,5.091532422,13.0865608,0.792
Malaysia,2016,4.449781398,12.5648978,0.798
Malaysia,2017,5.81272241,12.19259187,0.8
Malaysia,2018,4.843086976,11.9694463,0.802
Malaysia,2019,4.413187421,11.65310018,0.805
Malaysia,2020,-5.456846584,12.96227361,0.802
Malaysia,2021,3.315349544,12.63688126,0.798
Malaysia,2022,8.861821876,11.58770183,0.807
Malaysia,2023,3.555487154,11.94926963,0.819
Philippines,2009,1.448323063,9.826598578,0.666
Philippines,2010,7.334499965,9.720395177,0.673
Philippines,2011,3.858232824,9.71363218,0.677
Philippines,2012,6.896951708,10.79214711,0.684
Philippines,2013,6.750531304,10.81695502,0.689
Philippines,2014,6.34798748,10.56117268,0.693
Philippines,2015,6.348309715,10.91164166,0.696
Philippines,2016,7.149456753,11.2579676,0.696
Philippines,2017,6.930988325,11.32336631,0.7
Philippines,2018,6.341485571,12.04278365,0.706
Philippines,2019,6.118525661,12.46775443,0.714
Philippines,2020,-9.518294741,15.26145459,0.705
Philippines,2021,5.714733134,15.57919471,0.692
Philippines,2022,7.580982128,15.04367422,0.71
Philippines,2023,5.545851171,14.24917813,0.72
Singapore,2009,0.1279533828,9.929973849,0.91
Singapore,2010,14.51974971,9.691568386,0.921
Singapore,2011,6.214934169,9.236842637,0.924
Singapore,2012,4.435497594,8.857866885,0.926
Singapore,2013,4.817630991,9.744217727,0.93
Singapore,2014,3.935540277,9.631032022,0.932
Singapore,2015,2.976799316,10.19090832,0.935
Singapore,2016,3.588643696,10.25761381,0.937
Singapore,2017,4.512926318,10.19034523,0.938
Singapore,2018,3.517114185,9.970696465,0.942
Singapore,2019,1.345058741,10.24898406,0.945
Singapore,2020,-3.869798934,12.23476464,0.942
Singapore,2021,9.690766871,10.60417011,0.942
Singapore,2022,3.838076785,9.446424372,0.949
Singapore,2023,1.075031751,10.22672944,0.946
Thailand,2009,-0.6906182323,15.98005191,0.738
Thailand,2010,7.513390533,15.80081503,0.743
Thailand,2011,0.8401320831,16.14178096,0.749
Thailand,2012,7.242796202,16.3529827,0.752
Thailand,2013,2.687495563,16.36348545,0.754
Thailand,2014,0.9844688636,16.91636111,0.785
Thailand,2015,3.134047249,17.12115127,0.789
Thailand,2016,3.435157717,16.86518276,0.793
Thailand,2017,4.177681032,16.29840379,0.795
Thailand,2018,4.222870287,16.17396643,0.796
Thailand,2019,2.114557796,16.16935204,0.801
Thailand,2020,-6.050038469,17.79488741,0.8
Thailand,2021,1.568181765,18.23131645,0.797
Thailand,2022,2.462769341,17.72257591,0.803
Thailand,2023,1.887257251,16.644597,0.798
Timor-Leste,2009,10.14695442,115.9235632,0.625
Timor-Leste,2010,9.331511766,103.1635339,0.639
Timor-Leste,2011,5.958539712,89.70617378,0.649
Timor-Leste,2012,4.860621868,84.19351086,0.644
Timor-Leste,2013,3.104366832,62.33681448,0.64
Timor-Leste,2014,4.472498466,65.66618207,0.63
Timor-Leste,2015,2.480040402,58.94351846,0.621
Timor-Leste,2016,3.009930626,55.60806981,0.61
Timor-Leste,2017,-3.182415225,55.18268783,0.614
Timor-Leste,2018,-0.4665021707,56.67969547,0.616
Timor-Leste,2019,24.21288401,47.22184995,0.627
Timor-Leste,2020,31.72574167,44.47845927,0.633
Timor-Leste,2021,5.363126627,28.1955062,0.574
Timor-Leste,2022,-20.58424404,33.1099198,0.566
Timor-Leste,2023,-18.11781338,52.9169651,0.634
Viet Nam,2009,5.39789754,5.778407417,0.671
Viet Nam,2010,6.423244822,10.38330825,0.676
Viet Nam,2011,6.413168897,9.980917276,0.681
Viet Nam,2012,5.504544704,10.44518629,0.684
Viet Nam,2013,5.55351081,10.91616698,0.689
Viet Nam,2014,6.422243121,10.31746175,0.693
Viet Nam,2015,6.987154306,10.65491271,0.697
Viet Nam,2016,6.690008927,10.39837667,0.702
Viet Nam,2017,6.940190374,10.13492728,0.706
Viet Nam,2018,7.465006856,9.745889133,0.711
Viet Nam,2019,7.359262701,9.578836368,0.717
Viet Nam,2020,2.865413209,9.478813283,0.726
Viet Nam,2021,2.553728526,9.585085546,0.718
Viet Nam,2022,8.123514468,8.934138284,0.726
Viet Nam,2023,5.046430736,8.852103341,0.766
